,a_max,area_km2,effective_area,mean_distance,region,sigma
0,1409100,1070916000,27600992.0,955.7040357641821,altamira,1.51
1,2848290,2164700400,47030176.0,714.1815759298312,ariquemes,1.51
2,770990,585952400,8252896.0,312.31538238575433,el_cayman_colombia,1.51
3,45854,34849040,755264.0,719.7831932126346,maraba,1.51
4,173340,131738400,2131744.0,198.7909527213937,rio_branco,1.51
