,a_max,file,mean_distance_10000,sigma,type
0,100000000,contrived_select_10000_1.tif,880.5258354364972,8,Contrived
1,100000000,contrived_select_10000_1024.tif,69.81997432343731,8,Contrived
2,100000000,contrived_select_10000_1048576.tif,1017.939936383892,8,Contrived
3,100000000,contrived_select_10000_128.tif,200.18513262175796,8,Contrived
4,100000000,contrived_select_10000_131072.tif,487.67247300723284,8,Contrived
5,100000000,contrived_select_10000_16.tif,544.9978993904416,8,Contrived
6,100000000,contrived_select_10000_16384.tif,17.38942570612653,8,Contrived
7,100000000,contrived_select_10000_16777216.tif,995.8654195608863,8,Contrived
8,100000000,contrived_select_10000_2.tif,866.6113013655622,8,Contrived
9,100000000,contrived_select_10000_2048.tif,48.87041420178461,8,Contrived
10,100000000,contrived_select_10000_2097152.tif,1015.1771859263887,8,Contrived
11,100000000,contrived_select_10000_256.tif,141.52985959794572,8,Contrived
12,100000000,contrived_select_10000_262144.tif,876.6482040064824,8,Contrived
13,100000000,contrived_select_10000_32.tif,404.3324690460635,8,Contrived
14,100000000,contrived_select_10000_32768.tif,21.074984414216857,8,Contrived
15,100000000,contrived_select_10000_4.tif,793.4759406056386,8,Contrived
16,100000000,contrived_select_10000_4096.tif,33.92472500834808,8,Contrived
17,100000000,contrived_select_10000_4194304.tif,1009.3460300321361,8,Contrived
18,100000000,contrived_select_10000_512.tif,98.67946661955712,8,Contrived
19,100000000,contrived_select_10000_524288.tif,995.5039522912284,8,Contrived
20,100000000,contrived_select_10000_64.tif,287.4836221134087,8,Contrived
21,100000000,contrived_select_10000_65536.tif,155.6842811540203,8,Contrived
22,100000000,contrived_select_10000_8.tif,680.8259924659586,8,Contrived
23,100000000,contrived_select_10000_8192.tif,24.30015283034751,8,Contrived
24,100000000,contrived_select_10000_8388608.tif,1019.230230777107,8,Contrived
25,1000000,contrived_select_1000_1.tif,226.703609943304,8,Contrived
26,1000000,contrived_select_1000_1024.tif,354.30151683201785,8,Contrived
27,1000000,contrived_select_1000_128.tif,19.752718140494515,8,Contrived
28,1000000,contrived_select_1000_131072.tif,975.5457496803535,8,Contrived
29,1000000,contrived_select_1000_16.tif,57.79032729041434,8,Contrived
30,1000000,contrived_select_1000_16384.tif,1005.1070587683726,8,Contrived
31,1000000,contrived_select_1000_2.tif,161.2855908645032,8,Contrived
32,1000000,contrived_select_1000_2048.tif,771.0830225242952,8,Contrived
33,1000000,contrived_select_1000_256.tif,16.54795517559059,8,Contrived
34,1000000,contrived_select_1000_32.tif,39.42346700549581,8,Contrived
35,1000000,contrived_select_1000_32768.tif,1001.4915705649056,8,Contrived
36,1000000,contrived_select_1000_4.tif,114.01712100370383,8,Contrived
37,1000000,contrived_select_1000_4096.tif,987.3681124910084,8,Contrived
38,1000000,contrived_select_1000_512.tif,93.98376118702092,8,Contrived
39,1000000,contrived_select_1000_64.tif,27.13137919310135,8,Contrived
40,1000000,contrived_select_1000_65536.tif,1013.7096666869663,8,Contrived
41,1000000,contrived_select_1000_8.tif,78.80024083612685,8,Contrived
42,1000000,contrived_select_1000_8192.tif,985.939225943818,8,Contrived
43,10000,contrived_select_100_1.tif,22.16220498495455,8,Contrived
44,10000,contrived_select_100_1024.tif,996.2381990775556,8,Contrived
45,10000,contrived_select_100_128.tif,1012.8824675520983,8,Contrived
46,10000,contrived_select_100_16.tif,639.5268864447679,8,Contrived
47,10000,contrived_select_100_2.tif,206.49000076714702,8,Contrived
48,10000,contrived_select_100_256.tif,991.8918344946312,8,Contrived
49,10000,contrived_select_100_32.tif,920.8243715667971,8,Contrived
50,10000,contrived_select_100_4.tif,57.75224836100295,8,Contrived
51,10000,contrived_select_100_512.tif,974.0345412474356,8,Contrived
52,10000,contrived_select_100_64.tif,994.7508401111246,8,Contrived
53,10000,contrived_select_100_8.tif,309.3857150424885,8,Contrived
54,100,contrived_select_10_1.tif,987.7812982257452,8,Contrived
55,100,contrived_select_10_16.tif,999.5717628069639,8,Contrived
56,100,contrived_select_10_2.tif,1001.252192188329,8,Contrived
57,100,contrived_select_10_4.tif,1018.3638481809376,8,Contrived
58,100,contrived_select_10_8.tif,1010.566573578364,8,Contrived
59,2509056,contrived_select_1584_1.tif,351.41592569192426,8,Contrived
60,2509056,contrived_select_1584_1024.tif,42.698054087743095,8,Contrived
61,2509056,contrived_select_1584_128.tif,31.908573693785517,8,Contrived
62,2509056,contrived_select_1584_131072.tif,1005.8836935472733,8,Contrived
63,2509056,contrived_select_1584_16.tif,90.91236358569549,8,Contrived
64,2509056,contrived_select_1584_16384.tif,971.4019436997995,8,Contrived
65,2509056,contrived_select_1584_2.tif,260.7157271311243,8,Contrived
66,2509056,contrived_select_1584_2048.tif,246.6349705277646,8,Contrived
67,2509056,contrived_select_1584_256.tif,21.93899849505657,8,Contrived
68,2509056,contrived_select_1584_262144.tif,976.9948661016651,8,Contrived
69,2509056,contrived_select_1584_32.tif,61.866307273728395,8,Contrived
70,2509056,contrived_select_1584_32768.tif,1007.1637214804952,8,Contrived
71,2509056,contrived_select_1584_4.tif,180.06836011228862,8,Contrived
72,2509056,contrived_select_1584_4096.tif,643.5696089815453,8,Contrived
73,2509056,contrived_select_1584_512.tif,16.443343608301557,8,Contrived
74,2509056,contrived_select_1584_64.tif,44.30516818523081,8,Contrived
75,2509056,contrived_select_1584_65536.tif,979.5147694039858,8,Contrived
76,2509056,contrived_select_1584_8.tif,129.41933067983808,8,Contrived
77,2509056,contrived_select_1584_8192.tif,924.1488746209028,8,Contrived
78,24964,contrived_select_158_1.tif,35.45029261765173,8,Contrived
79,24964,contrived_select_158_1024.tif,998.2655705994324,8,Contrived
80,24964,contrived_select_158_128.tif,992.0031225280649,8,Contrived
81,24964,contrived_select_158_16.tif,174.51023960567116,8,Contrived
82,24964,contrived_select_158_2.tif,52.26198184904145,8,Contrived
83,24964,contrived_select_158_2048.tif,1031.3732342948026,8,Contrived
84,24964,contrived_select_158_256.tif,992.8931428539962,8,Contrived
85,24964,contrived_select_158_32.tif,513.6588771934253,8,Contrived
86,24964,contrived_select_158_4.tif,17.342959084562867,8,Contrived
87,24964,contrived_select_158_4096.tif,983.1373910101539,8,Contrived
88,24964,contrived_select_158_512.tif,1027.7894048959265,8,Contrived
89,24964,contrived_select_158_64.tif,867.7977015323187,8,Contrived
90,24964,contrived_select_158_8.tif,47.933912282664004,8,Contrived
91,225,contrived_select_15_1.tif,1007.6601483080967,8,Contrived
92,225,contrived_select_15_16.tif,997.0383299768506,8,Contrived
93,225,contrived_select_15_2.tif,955.4658624009635,8,Contrived
94,225,contrived_select_15_32.tif,1017.9437640729182,8,Contrived
95,225,contrived_select_15_4.tif,1032.0443754369571,8,Contrived
96,225,contrived_select_15_8.tif,1009.0699024267102,8,Contrived
97,6305121,contrived_select_2511_1.tif,546.0021975627719,8,Contrived
98,6305121,contrived_select_2511_1024.tif,17.639888849945553,8,Contrived
99,6305121,contrived_select_2511_1048576.tif,982.6859956499338,8,Contrived
