file sigma seed job richness
contrived_5000_0.1_1.tif 2 145 145 2672
contrived_5000_0.1_1024.tif 2 146 145 3287
contrived_5000_0.1_1048576.tif 2 147 145 8172
contrived_5000_0.1_128.tif 2 148 145 2690
contrived_5000_0.1_131072.tif 2 149 145 131528
contrived_5000_0.1_16.tif 2 150 145 2654
contrived_5000_0.1_16384.tif 2 151 145 17847
contrived_5000_0.1_2.tif 2 152 145 2607
contrived_5000_0.1_2048.tif 2 153 145 4199
contrived_5000_0.1_2097152.tif 2 154 145 6666
contrived_5000_0.1_256.tif 2 155 145 2859
contrived_5000_0.1_262144.tif 2 156 145 101319
contrived_5000_0.1_32.tif 2 157 145 2693
contrived_5000_0.1_32768.tif 2 158 145 34002
contrived_5000_0.1_4.tif 2 159 145 2743
contrived_5000_0.1_4096.tif 2 160 145 5957
contrived_5000_0.1_512.tif 2 161 145 2981
contrived_5000_0.1_524288.tif 2 162 145 20258
contrived_5000_0.1_64.tif 2 163 145 2649
contrived_5000_0.1_65536.tif 2 164 145 66636
contrived_5000_0.1_8.tif 2 165 145 2728
contrived_5000_0.1_8192.tif 2 166 145 9940
contrived_5000_0.2_1.tif 2 167 145 5279
contrived_5000_0.2_1024.tif 2 168 145 5878
contrived_5000_0.2_1048576.tif 2 169 145 9714
contrived_5000_0.2_128.tif 2 170 145 5493
contrived_5000_0.2_131072.tif 2 171 145 119865
contrived_5000_0.2_16.tif 2 172 145 5297
contrived_5000_0.2_16384.tif 2 173 145 19652
contrived_5000_0.2_2.tif 2 174 145 5279
contrived_5000_0.2_2048.tif 2 175 145 6655
contrived_5000_0.2_2097152.tif 2 176 145 8779
contrived_5000_0.2_256.tif 2 177 145 5399
contrived_5000_0.2_262144.tif 2 178 145 47082
contrived_5000_0.2_32.tif 2 179 145 5286
contrived_5000_0.2_32768.tif 2 180 145 35750
contrived_5000_0.2_4.tif 2 181 145 5269
contrived_5000_0.2_4096.tif 2 182 145 8260
contrived_5000_0.2_4194304.tif 2 183 145 8813
contrived_5000_0.2_512.tif 2 184 145 5500
contrived_5000_0.2_524288.tif 2 185 145 14294
contrived_5000_0.2_64.tif 2 186 145 5363
contrived_5000_0.2_65536.tif 2 187 145 68140
contrived_5000_0.2_8.tif 2 188 145 5256
contrived_5000_0.2_8192.tif 2 189 145 12047
contrived_5000_0.4_1.tif 2 190 145 10534
contrived_5000_0.4_1024.tif 2 191 145 11115
contrived_5000_0.4_1048576.tif 2 192 145 13495
contrived_5000_0.4_128.tif 2 193 145 10568
contrived_5000_0.4_131072.tif 2 194 145 34454
contrived_5000_0.4_16.tif 2 195 145 10576
contrived_5000_0.4_16384.tif 2 196 145 24076
contrived_5000_0.4_2.tif 2 197 145 10628
contrived_5000_0.4_2048.tif 2 198 145 11683
contrived_5000_0.4_2097152.tif 2 199 145 13567
contrived_5000_0.4_256.tif 2 200 145 10759
contrived_5000_0.4_262144.tif 2 201 145 19017
contrived_5000_0.4_32.tif 2 202 145 10454
contrived_5000_0.4_32768.tif 2 203 145 39484
contrived_5000_0.4_4.tif 2 204 145 10528
contrived_5000_0.4_4096.tif 2 205 145 13233
contrived_5000_0.4_4194304.tif 2 206 145 13395
contrived_5000_0.4_512.tif 2 207 145 10856
contrived_5000_0.4_524288.tif 2 208 145 14502
contrived_5000_0.4_64.tif 2 209 145 10533
contrived_5000_0.4_65536.tif 2 210 145 57721
contrived_5000_0.4_8.tif 2 211 145 10530
contrived_5000_0.4_8192.tif 2 212 145 16641
contrived_5000_0.4_8388608.tif 2 213 145 13297
contrived_500_0.1_1.tif 2 214 145 27
contrived_500_0.1_1024.tif 2 215 145 1030
contrived_500_0.1_128.tif 2 216 145 141
contrived_500_0.1_16.tif 2 217 145 34
contrived_500_0.1_16384.tif 2 218 145 90
contrived_500_0.1_2.tif 2 219 145 31
contrived_500_0.1_2048.tif 2 220 145 1673
contrived_500_0.1_256.tif 2 221 145 266
contrived_500_0.1_32.tif 2 222 145 52
contrived_500_0.1_4.tif 2 223 145 27
contrived_500_0.1_4096.tif 2 224 145 409
contrived_500_0.1_512.tif 2 225 145 521
contrived_500_0.1_64.tif 2 226 145 80
