,map_file,richness,seed,speciation,time
0,map_500_0.2_1.tif,150,2,False,0.0
1,map_500_0.2_1.tif,149,2,False,100.0
2,map_500_0.2_1.tif,152,2,False,200.0
3,map_500_0.2_1.tif,163,2,False,300.0
4,map_500_0.2_1.tif,168,2,False,400.0
5,map_500_0.2_1.tif,175,2,False,500.0
6,map_500_0.2_1.tif,172,2,False,600.0
7,map_500_0.2_1.tif,173,2,False,700.0
8,map_500_0.2_1.tif,175,2,False,800.0
9,map_500_0.2_1.tif,170,2,False,900.0
10,map_500_0.2_1.tif,193,2,False,1000.0
11,map_500_0.2_1.tif,195,2,False,1100.0
12,map_500_0.2_1.tif,198,2,False,1200.0
13,map_500_0.2_1.tif,210,2,False,1300.0
14,map_500_0.2_1.tif,217,2,False,1400.0
15,map_500_0.2_1.tif,231,2,False,1500.0
16,map_500_0.2_1.tif,254,2,False,1600.0
17,map_500_0.2_1.tif,254,2,False,1700.0
18,map_500_0.2_1.tif,282,2,False,1800.0
19,map_500_0.2_1.tif,296,2,False,1900.0
20,map_500_0.2_1.tif,322,2,False,2000.0
21,map_500_0.2_1.tif,362,2,False,2100.0
22,map_500_0.2_1.tif,421,2,False,2200.0
23,map_500_0.2_1.tif,512,2,False,2300.0
24,map_500_0.2_1.tif,681,2,False,2400.0
25,map_500_0.2_1.tif,1214,2,False,2495.0
26,map_500_0.2_1.tif,1230,2,False,2496.0
27,map_500_0.2_1.tif,1252,2,False,2497.0
28,map_500_0.2_1.tif,1272,2,False,2498.0
29,map_500_0.2_1.tif,1315,2,False,2499.0
30,map_500_0.2_1.tif,1352,2,False,2500.0
31,map_500_0.2_1.tif,1542,2,False,2501.0
32,map_500_0.2_1.tif,1545,2,False,2502.0
33,map_500_0.2_1.tif,1539,2,False,2503.0
34,map_500_0.2_1.tif,1542,2,False,2504.0
35,map_500_0.2_1.tif,1552,2,False,2505.0
36,map_500_0.2_1.tif,1551,2,False,2506.0
37,map_500_0.2_1.tif,1545,2,False,2507.0
38,map_500_0.2_1.tif,1551,2,False,2508.0
39,map_500_0.2_1.tif,1551,2,False,2509.0
40,map_500_0.2_1.tif,1549,2,False,2510.0
41,map_500_0.2_1.tif,1549,2,False,2511.0
42,map_500_0.2_1.tif,1561,2,False,2512.0
43,map_500_0.2_1.tif,1553,2,False,2513.0
44,map_500_0.2_1.tif,1557,2,False,2514.0
45,map_500_0.2_1.tif,1566,2,False,2515.0
46,map_500_0.2_1.tif,1558,2,False,2516.0
47,map_500_0.2_1.tif,1555,2,False,2517.0
48,map_500_0.2_1.tif,1550,2,False,2518.0
49,map_500_0.2_1.tif,1553,2,False,2519.0
50,map_500_0.2_1.tif,1553,2,False,2520.0
51,map_500_0.2_1.tif,1557,2,False,2521.0
52,map_500_0.2_1.tif,1554,2,False,2522.0
53,map_500_0.2_1.tif,1547,2,False,2523.0
54,map_500_0.2_1.tif,1549,2,False,2524.0
55,map_500_0.2_1.tif,1544,2,False,2525.0
56,map_500_0.2_1.tif,1540,2,False,2526.0
57,map_500_0.2_1.tif,1536,2,False,2527.0
58,map_500_0.2_1.tif,1525,2,False,2528.0
59,map_500_0.2_1.tif,1543,2,False,2529.0
60,map_500_0.2_1.tif,1542,2,False,2530.0
61,map_500_0.2_1.tif,1540,2,False,2531.0
62,map_500_0.2_1.tif,1544,2,False,2532.0
63,map_500_0.2_1.tif,1538,2,False,2533.0
64,map_500_0.2_1.tif,1530,2,False,2534.0
65,map_500_0.2_1.tif,1545,2,False,2535.0
66,map_500_0.2_1.tif,1547,2,False,2536.0
67,map_500_0.2_1.tif,1548,2,False,2537.0
68,map_500_0.2_1.tif,1552,2,False,2538.0
69,map_500_0.2_1.tif,1565,2,False,2539.0
70,map_500_0.2_1.tif,1555,2,False,2540.0
71,map_500_0.2_1.tif,1545,2,False,2541.0
72,map_500_0.2_1.tif,1548,2,False,2542.0
73,map_500_0.2_1.tif,1544,2,False,2543.0
74,map_500_0.2_1.tif,1541,2,False,2544.0
75,map_500_0.2_1.tif,1529,2,False,2545.0
76,map_500_0.2_1.tif,1535,2,False,2546.0
77,map_500_0.2_1.tif,1543,2,False,2547.0
78,map_500_0.2_1.tif,1548,2,False,2548.0
79,map_500_0.2_1.tif,1542,2,False,2549.0
80,map_500_0.2_1.tif,1535,2,False,2550.0
81,map_500_0.2_1.tif,1535,2,False,2551.0
