,map_file,richness,speciation,time
0,contrived_500_0.2_1024.tif,402,True,0.0
1,contrived_500_0.2_1024.tif,391,True,100.0
2,contrived_500_0.2_1024.tif,408,True,200.0
3,contrived_500_0.2_1024.tif,406,True,300.0
4,contrived_500_0.2_1024.tif,395,True,400.0
5,contrived_500_0.2_1024.tif,409,True,500.0
6,contrived_500_0.2_1024.tif,407,True,600.0
7,contrived_500_0.2_1024.tif,438,True,700.0
8,contrived_500_0.2_1024.tif,435,True,800.0
9,contrived_500_0.2_1024.tif,429,True,900.0
10,contrived_500_0.2_1024.tif,439,True,1000.0
11,contrived_500_0.2_1024.tif,461,True,1100.0
12,contrived_500_0.2_1024.tif,472,True,1200.0
13,contrived_500_0.2_1024.tif,470,True,1300.0
14,contrived_500_0.2_1024.tif,474,True,1400.0
15,contrived_500_0.2_1024.tif,473,True,1500.0
16,contrived_500_0.2_1024.tif,496,True,1600.0
17,contrived_500_0.2_1024.tif,493,True,1700.0
18,contrived_500_0.2_1024.tif,501,True,1800.0
19,contrived_500_0.2_1024.tif,502,True,1900.0
20,contrived_500_0.2_1024.tif,548,True,2000.0
21,contrived_500_0.2_1024.tif,583,True,2100.0
22,contrived_500_0.2_1024.tif,641,True,2200.0
23,contrived_500_0.2_1024.tif,690,True,2300.0
24,contrived_500_0.2_1024.tif,808,True,2400.0
25,contrived_500_0.2_1024.tif,1344,True,2500.0
26,contrived_500_0.2_1024.tif,1524,True,2600.0
27,contrived_500_0.2_1024.tif,1528,True,2700.0
28,contrived_500_0.2_1024.tif,1216,True,2495.0
29,contrived_500_0.2_1024.tif,1231,True,2496.0
30,contrived_500_0.2_1024.tif,1253,True,2497.0
31,contrived_500_0.2_1024.tif,1281,True,2498.0
32,contrived_500_0.2_1024.tif,1304,True,2499.0
33,contrived_500_0.2_1024.tif,1521,True,2501.0
34,contrived_500_0.2_1024.tif,1523,True,2502.0
35,contrived_500_0.2_1024.tif,1509,True,2503.0
36,contrived_500_0.2_1024.tif,1500,True,2504.0
37,contrived_500_0.2_1024.tif,1506,True,2505.0
38,contrived_500_0.2_1024.tif,1508,True,2506.0
39,contrived_500_0.2_1024.tif,1515,True,2507.0
40,contrived_500_0.2_1024.tif,1517,True,2508.0
41,contrived_500_0.2_1024.tif,1505,True,2509.0
42,contrived_500_0.2_1024.tif,1507,True,2510.0
43,contrived_500_0.2_1024.tif,1507,True,2511.0
44,contrived_500_0.2_1024.tif,1508,True,2512.0
45,contrived_500_0.2_1024.tif,1511,True,2513.0
46,contrived_500_0.2_1024.tif,1507,True,2514.0
47,contrived_500_0.2_1024.tif,1498,True,2515.0
48,contrived_500_0.2_1024.tif,1496,True,2516.0
49,contrived_500_0.2_1024.tif,1487,True,2517.0
50,contrived_500_0.2_1024.tif,1487,True,2518.0
